#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     PROJECT                         NSSDC
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     OMNI (1AU IP Data)>Merged 1 Hour Interplantary OMNI data
#     DATA_TYPE                       H0>Definitive Hourly
#     DESCRIPTOR                      IMF, Plasma, Indices, Energetic Proton Flux
#     DATA_VERSION                    1
#     TITLE                           Near-Earth Heliosphere Data (OMNI)
#     TEXT                            Hourly averaged definitive multispacecraft interplanetary parameters data
#                                     OMNI Data Documentation: https://omniweb.gsfc.nasa.gov/html/ow_data.html
#                                     Additional data access options available at  SPDF's OMNIWeb Service: https://omniweb.gsfc.nasa.gov/ow.h
#                                     COHOWeb-formatted OMNI_M merged magnetic field and plasma data http://cohoweb.gsfc.nasa.gov/           
#                                     Recent OMNI 1-HR Updates News: https://omniweb.gsfc.nasa.gov/html/ow_news.html
#     MODS                            created August 2003;
#                                     conversion to ISTP/IACG CDFs via SKTEditor Feb 2000
#                                     Time tags in CDAWeb version were modified in March 2005 to use the
#                                     CDAWeb convention of having mid-average time tags rather than OMNI's
#                                     original convention of start-of-average time tags.
#     LOGICAL_FILE_ID                 omni2_h0_mrg1hr_00000000_v01
#     PI_NAME                         J.H. King, N. Papitashvili
#     PI_AFFILIATION                  ADNET, NASA GSFC
#     GENERATION_DATE                 Ongoing
#     ACKNOWLEDGEMENT                 NSSDC
#     ADID_REF                        NSSD0110
#     RULES_OF_USE                    Public
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#                                     Magnetic Fields (space)
#                                     Particles (space)
#                                     Electric Fields (space)
#                                     Activity Indices
#     GENERATED_BY                    King/Papitashvili
#     TIME_RESOLUTION                 1 hour
#     LOGICAL_SOURCE                  omni2_h0_mrg1hr
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, Hourly IMF and Plasma Data, and Energetic Proton                            
#     LOGICAL_SOURCE_DESCRIPTION       Fluxes, Time-Shifted to the Nose of the Earth's Bow Shock, plus Solar and Magnetic                    
#                                      Indices                                                                                               
#     LINK_TITLE                      OMNI Data documentation
#                                     SPDF's OMNIWeb Service
#                                     COHOWeb-formatted OMNI_M merged magnetic field and plasma data
#                                     Release Notes
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/ow_data.html
#                                     https://omniweb.gsfc.nasa.gov/ow.html
#                                     http://cohoweb.gsfc.nasa.gov/
#                                     https://omniweb.gsfc.nasa.gov/html/ow_news.html
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-Particles_mrg1hr_1hour_cdf
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices)
#                                     ACE
#                                     Wind
#                                     IMP (All)
#                                     !___Interplanetary Data near 1 AU
#     SPASE_DATASETRESOURCEID         spase://VMO/NumericalData/OMNI/PT1H
#     CDFMAJOR                        ROW_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time_at_center_of_hour
#  2. Dst - 1-hour Dst index (1963/001-2014/366), Provisional Dst (2015/001-2016/366), Quick-look Dst (2017/001-2018/151), from WDC Kyoto
#
TIME_AT_CENTER_OF_HOUR  1-H_DST
14-01-2007 08:30:00.000       3
14-01-2007 09:30:00.000       1
14-01-2007 10:30:00.000      -2
14-01-2007 11:30:00.000      -3
14-01-2007 12:30:00.000      -6
14-01-2007 13:30:00.000       0
14-01-2007 14:30:00.000       2
14-01-2007 15:30:00.000      -3
14-01-2007 16:30:00.000      -5
14-01-2007 17:30:00.000       3
14-01-2007 18:30:00.000      -1
14-01-2007 19:30:00.000      -3
14-01-2007 20:30:00.000      -3
14-01-2007 21:30:00.000      -6
14-01-2007 22:30:00.000     -10
14-01-2007 23:30:00.000      -9
15-01-2007 00:30:00.000     -13
15-01-2007 01:30:00.000     -16
15-01-2007 02:30:00.000     -18
15-01-2007 03:30:00.000     -17
15-01-2007 04:30:00.000     -14
15-01-2007 05:30:00.000     -10
15-01-2007 06:30:00.000     -11
15-01-2007 07:30:00.000     -12
15-01-2007 08:30:00.000      -8
15-01-2007 09:30:00.000      -5
15-01-2007 10:30:00.000      -8
15-01-2007 11:30:00.000     -12
15-01-2007 12:30:00.000     -12
15-01-2007 13:30:00.000     -22
15-01-2007 14:30:00.000     -31
15-01-2007 15:30:00.000     -30
15-01-2007 16:30:00.000     -29
15-01-2007 17:30:00.000     -29
15-01-2007 18:30:00.000     -29
15-01-2007 19:30:00.000     -23
15-01-2007 20:30:00.000     -20
15-01-2007 21:30:00.000     -16
15-01-2007 22:30:00.000     -15
15-01-2007 23:30:00.000     -13
16-01-2007 00:30:00.000     -14
16-01-2007 01:30:00.000     -18
16-01-2007 02:30:00.000     -21
16-01-2007 03:30:00.000     -22
16-01-2007 04:30:00.000     -22
16-01-2007 05:30:00.000     -16
16-01-2007 06:30:00.000      -8
16-01-2007 07:30:00.000      -5
16-01-2007 08:30:00.000      -5
16-01-2007 09:30:00.000      -8
16-01-2007 10:30:00.000     -12
16-01-2007 11:30:00.000     -11
16-01-2007 12:30:00.000     -11
16-01-2007 13:30:00.000     -12
16-01-2007 14:30:00.000     -15
16-01-2007 15:30:00.000     -27
16-01-2007 16:30:00.000     -28
16-01-2007 17:30:00.000     -24
16-01-2007 18:30:00.000     -16
16-01-2007 19:30:00.000     -17
16-01-2007 20:30:00.000     -22
16-01-2007 21:30:00.000     -19
16-01-2007 22:30:00.000     -13
16-01-2007 23:30:00.000     -15
17-01-2007 00:30:00.000     -21
17-01-2007 01:30:00.000     -21
17-01-2007 02:30:00.000     -21
17-01-2007 03:30:00.000     -21
17-01-2007 04:30:00.000     -24
17-01-2007 05:30:00.000     -28
17-01-2007 06:30:00.000     -28
17-01-2007 07:30:00.000     -26
17-01-2007 08:30:00.000     -26
17-01-2007 09:30:00.000     -32
17-01-2007 10:30:00.000     -30
17-01-2007 11:30:00.000     -27
17-01-2007 12:30:00.000     -23
17-01-2007 13:30:00.000     -26
17-01-2007 14:30:00.000     -27
17-01-2007 15:30:00.000     -26
17-01-2007 16:30:00.000     -27
17-01-2007 17:30:00.000     -27
17-01-2007 18:30:00.000     -36
17-01-2007 19:30:00.000     -33
17-01-2007 20:30:00.000     -36
17-01-2007 21:30:00.000     -36
17-01-2007 22:30:00.000     -30
17-01-2007 23:30:00.000     -23
18-01-2007 00:30:00.000     -23
18-01-2007 01:30:00.000     -26
18-01-2007 02:30:00.000     -27
18-01-2007 03:30:00.000     -30
18-01-2007 04:30:00.000     -32
18-01-2007 05:30:00.000     -31
18-01-2007 06:30:00.000     -28
18-01-2007 07:30:00.000     -29
18-01-2007 08:30:00.000     -30
18-01-2007 09:30:00.000     -25
18-01-2007 10:30:00.000     -25
18-01-2007 11:30:00.000     -23
18-01-2007 12:30:00.000     -22
18-01-2007 13:30:00.000     -25
18-01-2007 14:30:00.000     -26
18-01-2007 15:30:00.000     -28
18-01-2007 16:30:00.000     -30
18-01-2007 17:30:00.000     -25
18-01-2007 18:30:00.000     -21
18-01-2007 19:30:00.000     -24
18-01-2007 20:30:00.000     -21
18-01-2007 21:30:00.000     -20
18-01-2007 22:30:00.000     -21
18-01-2007 23:30:00.000     -26
19-01-2007 00:30:00.000     -22
19-01-2007 01:30:00.000     -19
19-01-2007 02:30:00.000     -21
19-01-2007 03:30:00.000     -28
19-01-2007 04:30:00.000     -32
19-01-2007 05:30:00.000     -32
19-01-2007 06:30:00.000     -26
19-01-2007 07:30:00.000     -22
19-01-2007 08:30:00.000     -22
19-01-2007 09:30:00.000     -20
19-01-2007 10:30:00.000     -21
19-01-2007 11:30:00.000     -20
19-01-2007 12:30:00.000     -22
19-01-2007 13:30:00.000     -23
19-01-2007 14:30:00.000     -24
19-01-2007 15:30:00.000     -29
19-01-2007 16:30:00.000     -29
19-01-2007 17:30:00.000     -27
19-01-2007 18:30:00.000     -23
19-01-2007 19:30:00.000     -23
19-01-2007 20:30:00.000     -28
19-01-2007 21:30:00.000     -27
19-01-2007 22:30:00.000     -22
19-01-2007 23:30:00.000     -19
20-01-2007 00:30:00.000     -19
20-01-2007 01:30:00.000     -21
20-01-2007 02:30:00.000     -19
20-01-2007 03:30:00.000     -19
20-01-2007 04:30:00.000     -18
20-01-2007 05:30:00.000     -18
20-01-2007 06:30:00.000     -18
20-01-2007 07:30:00.000     -12
20-01-2007 08:30:00.000     -15
20-01-2007 09:30:00.000     -16
20-01-2007 10:30:00.000     -16
20-01-2007 11:30:00.000     -19
20-01-2007 12:30:00.000     -17
20-01-2007 13:30:00.000     -18
20-01-2007 14:30:00.000     -22
20-01-2007 15:30:00.000     -23
20-01-2007 16:30:00.000     -25
20-01-2007 17:30:00.000     -25
20-01-2007 18:30:00.000     -23
20-01-2007 19:30:00.000     -22
20-01-2007 20:30:00.000     -20
20-01-2007 21:30:00.000     -16
20-01-2007 22:30:00.000     -13
20-01-2007 23:30:00.000     -12
21-01-2007 00:30:00.000     -10
21-01-2007 01:30:00.000     -11
21-01-2007 02:30:00.000     -11
21-01-2007 03:30:00.000     -10
21-01-2007 04:30:00.000     -15
21-01-2007 05:30:00.000     -19
21-01-2007 06:30:00.000     -21
21-01-2007 07:30:00.000     -24
21-01-2007 08:30:00.000     -24
21-01-2007 09:30:00.000     -23
21-01-2007 10:30:00.000     -25
21-01-2007 11:30:00.000     -24
21-01-2007 12:30:00.000     -18
21-01-2007 13:30:00.000     -17
21-01-2007 14:30:00.000     -17
21-01-2007 15:30:00.000     -17
21-01-2007 16:30:00.000     -18
21-01-2007 17:30:00.000     -21
21-01-2007 18:30:00.000     -20
21-01-2007 19:30:00.000     -18
21-01-2007 20:30:00.000     -16
21-01-2007 21:30:00.000     -15
21-01-2007 22:30:00.000     -12
21-01-2007 23:30:00.000      -8
22-01-2007 00:30:00.000     -10
22-01-2007 01:30:00.000     -10
22-01-2007 02:30:00.000      -8
22-01-2007 03:30:00.000      -7
22-01-2007 04:30:00.000      -6
22-01-2007 05:30:00.000      -5
22-01-2007 06:30:00.000      -6
22-01-2007 07:30:00.000      -7
22-01-2007 08:30:00.000      -5
22-01-2007 09:30:00.000      -6
22-01-2007 10:30:00.000      -8
22-01-2007 11:30:00.000     -10
22-01-2007 12:30:00.000     -14
22-01-2007 13:30:00.000     -17
22-01-2007 14:30:00.000     -17
22-01-2007 15:30:00.000     -14
22-01-2007 16:30:00.000     -15
22-01-2007 17:30:00.000     -19
22-01-2007 18:30:00.000     -19
22-01-2007 19:30:00.000     -18
22-01-2007 20:30:00.000     -16
22-01-2007 21:30:00.000     -14
22-01-2007 22:30:00.000     -14
22-01-2007 23:30:00.000     -13
23-01-2007 00:30:00.000     -12
23-01-2007 01:30:00.000     -14
23-01-2007 02:30:00.000     -15
23-01-2007 03:30:00.000     -14
23-01-2007 04:30:00.000     -15
23-01-2007 05:30:00.000     -16
23-01-2007 06:30:00.000     -14
23-01-2007 07:30:00.000     -12
23-01-2007 08:30:00.000      -7
23-01-2007 09:30:00.000      -3
23-01-2007 10:30:00.000      -5
23-01-2007 11:30:00.000      -4
23-01-2007 12:30:00.000      -7
23-01-2007 13:30:00.000     -10
23-01-2007 14:30:00.000     -14
23-01-2007 15:30:00.000     -16
23-01-2007 16:30:00.000     -15
23-01-2007 17:30:00.000     -12
23-01-2007 18:30:00.000     -10
23-01-2007 19:30:00.000     -11
23-01-2007 20:30:00.000     -13
23-01-2007 21:30:00.000     -12
23-01-2007 22:30:00.000      -9
23-01-2007 23:30:00.000      -5
24-01-2007 00:30:00.000      -5
24-01-2007 01:30:00.000      -5
24-01-2007 02:30:00.000      -7
24-01-2007 03:30:00.000      -5
24-01-2007 04:30:00.000      -4
24-01-2007 05:30:00.000      -2
24-01-2007 06:30:00.000      -1
24-01-2007 07:30:00.000      -2
24-01-2007 08:30:00.000      -3
24-01-2007 09:30:00.000      -1
24-01-2007 10:30:00.000      -1
24-01-2007 11:30:00.000      -4
24-01-2007 12:30:00.000      -7
24-01-2007 13:30:00.000      -7
24-01-2007 14:30:00.000     -17
24-01-2007 15:30:00.000     -16
24-01-2007 16:30:00.000     -16
24-01-2007 17:30:00.000     -15
24-01-2007 18:30:00.000     -11
24-01-2007 19:30:00.000      -8
24-01-2007 20:30:00.000      -9
24-01-2007 21:30:00.000      -9
24-01-2007 22:30:00.000      -8
24-01-2007 23:30:00.000      -9
25-01-2007 00:30:00.000      -7
25-01-2007 01:30:00.000      -6
25-01-2007 02:30:00.000      -8
25-01-2007 03:30:00.000      -9
25-01-2007 04:30:00.000      -7
25-01-2007 05:30:00.000      -6
25-01-2007 06:30:00.000      -3
25-01-2007 07:30:00.000      -1
25-01-2007 08:30:00.000      -1
25-01-2007 09:30:00.000      -3
25-01-2007 10:30:00.000       0
25-01-2007 11:30:00.000       3
25-01-2007 12:30:00.000       3
25-01-2007 13:30:00.000      -1
25-01-2007 14:30:00.000       2
25-01-2007 15:30:00.000      -4
25-01-2007 16:30:00.000      -6
25-01-2007 17:30:00.000      -7
25-01-2007 18:30:00.000      -5
